comparison_index,comparison_id,analysis_workload_id,unit_id,replicate_index,metric,ratio_proposed_over_comparator,all_completed_pair,equal_charged_work_pair,both_all_events_accepted_pair,analysis_status
1,E1_STATIC__F22_MG_STATIC__VS__MATCHED_FIXED_DE_PARETO,E1_STATIC,LIRCMOP1,0,wall_seconds,1.7248075278900208,true,true,true,PRE_R10_SUPPORTING_DESCRIPTIVE_RESULT_AWARE__NO_NEW_CONFIRMATORY_INFERENCE
1,E1_STATIC__F22_MG_STATIC__VS__MATCHED_FIXED_DE_PARETO,E1_STATIC,LIRCMOP1,1,wall_seconds,1.7250847116517958,true,true,true,PRE_R10_SUPPORTING_DESCRIPTIVE_RESULT_AWARE__NO_NEW_CONFIRMATORY_INFERENCE
1,E1_STATIC__F22_MG_STATIC__VS__MATCHED_FIXED_DE_PARETO,E1_STATIC,LIRCMOP1,2,wall_seconds,1.7254211143531217,true,true,true,PRE_R10_SUPPORTING_DESCRIPTIVE_RESULT_AWARE__NO_NEW_CONFIRMATORY_INFERENCE
1,E1_STATIC__F22_MG_STATIC__VS__MATCHED_FIXED_DE_PARETO,E1_STATIC,LIRCMOP1,3,wall_seconds,1.7255879244717447,true,true,true,PRE_R10_SUPPORTING_DESCRIPTIVE_RESULT_AWARE__NO_NEW_CONFIRMATORY_INFERENCE
1,E1_STATIC__F22_MG_STATIC__VS__MATCHED_FIXED_DE_PARETO,E1_STATIC,LIRCMOP1,4,wall_seconds,1.7256910112358432,true,true,true,PRE_R10_SUPPORTING_DESCRIPTIVE_RESULT_AWARE__NO_NEW_CONFIRMATORY_INFERENCE
1,E1_STATIC__F22_MG_STATIC__VS__MATCHED_FIXED_DE_PARETO,E1_STATIC,LIRCMOP1,5,wall_seconds,1.7258537225877331,true,true,true,PRE_R10_SUPPORTING_DESCRIPTIVE_RESULT_AWARE__NO_NEW_CONFIRMATORY_INFERENCE
1,E1_STATIC__F22_MG_STATIC__VS__MATCHED_FIXED_DE_PARETO,E1_STATIC,LIRCMOP1,6,wall_seconds,1.7262678582829962,true,true,true,PRE_R10_SUPPORTING_DESCRIPTIVE_RESULT_AWARE__NO_NEW_CONFIRMATORY_INFERENCE
1,E1_STATIC__F22_MG_STATIC__VS__MATCHED_FIXED_DE_PARETO,E1_STATIC,LIRCMOP1,7,wall_seconds,1.7267457955353991,true,true,true,PRE_R10_SUPPORTING_DESCRIPTIVE_RESULT_AWARE__NO_NEW_CONFIRMATORY_INFERENCE
1,E1_STATIC__F22_MG_STATIC__VS__MATCHED_FIXED_DE_PARETO,E1_STATIC,LIRCMOP1,8,wall_seconds,1.7271911681103613,true,true,true,PRE_R10_SUPPORTING_DESCRIPTIVE_RESULT_AWARE__NO_NEW_CONFIRMATORY_INFERENCE
1,E1_STATIC__F22_MG_STATIC__VS__MATCHED_FIXED_DE_PARETO,E1_STATIC,LIRCMOP1,9,wall_seconds,1.7276438256634359,true,true,true,PRE_R10_SUPPORTING_DESCRIPTIVE_RESULT_AWARE__NO_NEW_CONFIRMATORY_INFERENCE
1,E1_STATIC__F22_MG_STATIC__VS__MATCHED_FIXED_DE_PARETO,E1_STATIC,LIRCMOP10,0,wall_seconds,1.5020601289552178,true,true,true,PRE_R10_SUPPORTING_DESCRIPTIVE_RESULT_AWARE__NO_NEW_CONFIRMATORY_INFERENCE
1,E1_STATIC__F22_MG_STATIC__VS__MATCHED_FIXED_DE_PARETO,E1_STATIC,LIRCMOP10,1,wall_seconds,1.8574251046451589,true,true,true,PRE_R10_SUPPORTING_DESCRIPTIVE_RESULT_AWARE__NO_NEW_CONFIRMATORY_INFERENCE
1,E1_STATIC__F22_MG_STATIC__VS__MATCHED_FIXED_DE_PARETO,E1_STATIC,LIRCMOP10,2,wall_seconds,1.8581015177549236,true,true,true,PRE_R10_SUPPORTING_DESCRIPTIVE_RESULT_AWARE__NO_NEW_CONFIRMATORY_INFERENCE
1,E1_STATIC__F22_MG_STATIC__VS__MATCHED_FIXED_DE_PARETO,E1_STATIC,LIRCMOP10,3,wall_seconds,1.8519492196442571,true,true,true,PRE_R10_SUPPORTING_DESCRIPTIVE_RESULT_AWARE__NO_NEW_CONFIRMATORY_INFERENCE
1,E1_STATIC__F22_MG_STATIC__VS__MATCHED_FIXED_DE_PARETO,E1_STATIC,LIRCMOP10,4,wall_seconds,1.6225171092095867,true,true,true,PRE_R10_SUPPORTING_DESCRIPTIVE_RESULT_AWARE__NO_NEW_CONFIRMATORY_INFERENCE
1,E1_STATIC__F22_MG_STATIC__VS__MATCHED_FIXED_DE_PARETO,E1_STATIC,LIRCMOP10,5,wall_seconds,1.6226865938839405,true,true,true,PRE_R10_SUPPORTING_DESCRIPTIVE_RESULT_AWARE__NO_NEW_CONFIRMATORY_INFERENCE
1,E1_STATIC__F22_MG_STATIC__VS__MATCHED_FIXED_DE_PARETO,E1_STATIC,LIRCMOP10,6,wall_seconds,1.8540224982389131,true,true,true,PRE_R10_SUPPORTING_DESCRIPTIVE_RESULT_AWARE__NO_NEW_CONFIRMATORY_INFERENCE
1,E1_STATIC__F22_MG_STATIC__VS__MATCHED_FIXED_DE_PARETO,E1_STATIC,LIRCMOP10,7,wall_seconds,1.6259050862932181,true,true,true,PRE_R10_SUPPORTING_DESCRIPTIVE_RESULT_AWARE__NO_NEW_CONFIRMATORY_INFERENCE
1,E1_STATIC__F22_MG_STATIC__VS__MATCHED_FIXED_DE_PARETO,E1_STATIC,LIRCMOP10,8,wall_seconds,1.5011284681412584,true,true,true,PRE_R10_SUPPORTING_DESCRIPTIVE_RESULT_AWARE__NO_NEW_CONFIRMATORY_INFERENCE
1,E1_STATIC__F22_MG_STATIC__VS__MATCHED_FIXED_DE_PARETO,E1_STATIC,LIRCMOP10,9,wall_seconds,1.6261463702345131,true,true,true,PRE_R10_SUPPORTING_DESCRIPTIVE_RESULT_AWARE__NO_NEW_CONFIRMATORY_INFERENCE
1,E1_STATIC__F22_MG_STATIC__VS__MATCHED_FIXED_DE_PARETO,E1_STATIC,LIRCMOP11,0,wall_seconds,1.6274012921217271,true,true,true,PRE_R10_SUPPORTING_DESCRIPTIVE_RESULT_AWARE__NO_NEW_CONFIRMATORY_INFERENCE
1,E1_STATIC__F22_MG_STATIC__VS__MATCHED_FIXED_DE_PARETO,E1_STATIC,LIRCMOP11,1,wall_seconds,1.7168552359880598,true,true,true,PRE_R10_SUPPORTING_DESCRIPTIVE_RESULT_AWARE__NO_NEW_CONFIRMATORY_INFERENCE
1,E1_STATIC__F22_MG_STATIC__VS__MATCHED_FIXED_DE_PARETO,E1_STATIC,LIRCMOP11,2,wall_seconds,1.501919629498655,true,true,true,PRE_R10_SUPPORTING_DESCRIPTIVE_RESULT_AWARE__NO_NEW_CONFIRMATORY_INFERENCE
1,E1_STATIC__F22_MG_STATIC__VS__MATCHED_FIXED_DE_PARETO,E1_STATIC,LIRCMOP11,3,wall_seconds,1.8595939644421495,true,true,true,PRE_R10_SUPPORTING_DESCRIPTIVE_RESULT_AWARE__NO_NEW_CONFIRMATORY_INFERENCE
1,E1_STATIC__F22_MG_STATIC__VS__MATCHED_FIXED_DE_PARETO,E1_STATIC,LIRCMOP11,4,wall_seconds,1.7131475499556545,true,true,true,PRE_R10_SUPPORTING_DESCRIPTIVE_RESULT_AWARE__NO_NEW_CONFIRMATORY_INFERENCE
1,E1_STATIC__F22_MG_STATIC__VS__MATCHED_FIXED_DE_PARETO,E1_STATIC,LIRCMOP11,5,wall_seconds,1.7120651476641888,true,true,true,PRE_R10_SUPPORTING_DESCRIPTIVE_RESULT_AWARE__NO_NEW_CONFIRMATORY_INFERENCE
1,E1_STATIC__F22_MG_STATIC__VS__MATCHED_FIXED_DE_PARETO,E1_STATIC,LIRCMOP11,6,wall_seconds,1.7191227788119319,true,true,true,PRE_R10_SUPPORTING_DESCRIPTIVE_RESULT_AWARE__NO_NEW_CONFIRMATORY_INFERENCE
1,E1_STATIC__F22_MG_STATIC__VS__MATCHED_FIXED_DE_PARETO,E1_STATIC,LIRCMOP11,7,wall_seconds,1.7133373483343839,true,true,true,PRE_R10_SUPPORTING_DESCRIPTIVE_RESULT_AWARE__NO_NEW_CONFIRMATORY_INFERENCE
