comparison_index,comparison_id,analysis_workload_id,endpoint_id,cluster_id,paired_task_count,cluster_effect,cluster_lower_bound,cluster_upper_bound,effect_direction,analysis_status
1,E1_STATIC__F22_MG_STATIC__VS__MATCHED_FIXED_DE_PARETO,E1_STATIC,FAILURE_RATE,LIRCMOP1,10,0,0,0,comparator_rate_minus_proposed_rate,PRE_R10_SUPPORTING_DESCRIPTIVE_RESULT_AWARE__NO_NEW_CONFIRMATORY_INFERENCE
1,E1_STATIC__F22_MG_STATIC__VS__MATCHED_FIXED_DE_PARETO,E1_STATIC,REJECT_SAFETY_FILTER,LIRCMOP1,10,0,0,0,comparator_rate_minus_proposed_rate,PRE_R10_SUPPORTING_DESCRIPTIVE_RESULT_AWARE__NO_NEW_CONFIRMATORY_INFERENCE
1,E1_STATIC__F22_MG_STATIC__VS__MATCHED_FIXED_DE_PARETO,E1_STATIC,REJECT_BUDGET_NO_FEASIBLE,LIRCMOP1,10,0,0,0,comparator_rate_minus_proposed_rate,PRE_R10_SUPPORTING_DESCRIPTIVE_RESULT_AWARE__NO_NEW_CONFIRMATORY_INFERENCE
1,E1_STATIC__F22_MG_STATIC__VS__MATCHED_FIXED_DE_PARETO,E1_STATIC,REJECT_NUMERICAL,LIRCMOP1,10,0,0,0,comparator_rate_minus_proposed_rate,PRE_R10_SUPPORTING_DESCRIPTIVE_RESULT_AWARE__NO_NEW_CONFIRMATORY_INFERENCE
1,E1_STATIC__F22_MG_STATIC__VS__MATCHED_FIXED_DE_PARETO,E1_STATIC,OTHER_NONACCEPTED,LIRCMOP1,10,0,0,0,comparator_rate_minus_proposed_rate,PRE_R10_SUPPORTING_DESCRIPTIVE_RESULT_AWARE__NO_NEW_CONFIRMATORY_INFERENCE
1,E1_STATIC__F22_MG_STATIC__VS__MATCHED_FIXED_DE_PARETO,E1_STATIC,FAILURE_RATE,LIRCMOP10,10,0,0,0,comparator_rate_minus_proposed_rate,PRE_R10_SUPPORTING_DESCRIPTIVE_RESULT_AWARE__NO_NEW_CONFIRMATORY_INFERENCE
1,E1_STATIC__F22_MG_STATIC__VS__MATCHED_FIXED_DE_PARETO,E1_STATIC,REJECT_SAFETY_FILTER,LIRCMOP10,10,0,0,0,comparator_rate_minus_proposed_rate,PRE_R10_SUPPORTING_DESCRIPTIVE_RESULT_AWARE__NO_NEW_CONFIRMATORY_INFERENCE
1,E1_STATIC__F22_MG_STATIC__VS__MATCHED_FIXED_DE_PARETO,E1_STATIC,REJECT_BUDGET_NO_FEASIBLE,LIRCMOP10,10,0,0,0,comparator_rate_minus_proposed_rate,PRE_R10_SUPPORTING_DESCRIPTIVE_RESULT_AWARE__NO_NEW_CONFIRMATORY_INFERENCE
1,E1_STATIC__F22_MG_STATIC__VS__MATCHED_FIXED_DE_PARETO,E1_STATIC,REJECT_NUMERICAL,LIRCMOP10,10,0,0,0,comparator_rate_minus_proposed_rate,PRE_R10_SUPPORTING_DESCRIPTIVE_RESULT_AWARE__NO_NEW_CONFIRMATORY_INFERENCE
1,E1_STATIC__F22_MG_STATIC__VS__MATCHED_FIXED_DE_PARETO,E1_STATIC,OTHER_NONACCEPTED,LIRCMOP10,10,0,0,0,comparator_rate_minus_proposed_rate,PRE_R10_SUPPORTING_DESCRIPTIVE_RESULT_AWARE__NO_NEW_CONFIRMATORY_INFERENCE
1,E1_STATIC__F22_MG_STATIC__VS__MATCHED_FIXED_DE_PARETO,E1_STATIC,FAILURE_RATE,LIRCMOP11,10,0,0,0,comparator_rate_minus_proposed_rate,PRE_R10_SUPPORTING_DESCRIPTIVE_RESULT_AWARE__NO_NEW_CONFIRMATORY_INFERENCE
1,E1_STATIC__F22_MG_STATIC__VS__MATCHED_FIXED_DE_PARETO,E1_STATIC,REJECT_SAFETY_FILTER,LIRCMOP11,10,0,0,0,comparator_rate_minus_proposed_rate,PRE_R10_SUPPORTING_DESCRIPTIVE_RESULT_AWARE__NO_NEW_CONFIRMATORY_INFERENCE
1,E1_STATIC__F22_MG_STATIC__VS__MATCHED_FIXED_DE_PARETO,E1_STATIC,REJECT_BUDGET_NO_FEASIBLE,LIRCMOP11,10,0,0,0,comparator_rate_minus_proposed_rate,PRE_R10_SUPPORTING_DESCRIPTIVE_RESULT_AWARE__NO_NEW_CONFIRMATORY_INFERENCE
